"ds_codigo","ds_nome","area.1","area.2","area.3","area.4","total_area","final_score","classification"
1,"AGUA RASA",0.306442069373387,0.670983697897146,0.0222994183056413,0.000274814423824977,7.19145274072266,3.92889281255626,41
2,"ALTO DE PINHEIROS",0.618679425519704,0.34203655336831,0.0366031315100879,0.00268088960189767,7.45815875073242,2.78611443070761,28
3,"ANHANGUERA",0.113674942335681,0.463430973023846,0.383249811486967,0.0396442731535054,33.3265787678223,14.2770565415037,93
4,"ARICANDUVA",0.369951649848436,0.613486932383166,0.015516631743703,0.00104478602469523,6.97085558007813,3.51803761699012,35
5,"ARTUR ALVIM",0.236083944905222,0.727661095140758,0.0362394701367828,0.0000154898172376105,6.48862196484375,4.54522161815762,51
6,"BARRA FUNDA",0.903444250377046,0.0935675998268689,0.00298814979608471,0,5.87454518481445,0.542541744036462,6
7,"BELA VISTA",0.392629574829253,0.521904877135786,0.0780489924176396,0.00741655561732059,2.69633747753906,5.00574253315916,56
8,"BELEM",0.889127533175146,0.110872466824854,0,0,6.04882351831055,0.554362334124269,7
9,"BOM RETIRO",0.972751329554369,0.0224805300806604,0.00476814036497058,0,4.19590675439453,0.231606159527567,4
10,"BRAS",1,0,0,0,3.62125133276367,0,1
11,"BRASILANDIA",0.107231195967551,0.394416862699687,0.464512739512799,0.0338392018199626,21.0619170253906,15.6152549105162,94
12,"BUTANTA",0.502501178577051,0.43330111761955,0.061882477718464,0.00231522608493502,12.9589662810059,3.85248109615545,40
13,"CACHOEIRINHA",0.156436306842925,0.486354957641291,0.334744008362547,0.0224647271532376,13.5419087370605,12.1482586264644,89
14,"CAMBUCI",0.722150644756474,0.247490056276958,0.0303592989665678,0,3.92296052929687,1.99643275554898,18
15,"CAMPO BELO",0.493921010406521,0.495875826798962,0.00972167686404709,0.000481485930469291,8.78418233520508,2.75131021142415,26
16,"CAMPO GRANDE",0.532309497323411,0.43537504510549,0.032315457571099,0,12.9766409365234,2.98476166480493,29
17,"CAMPO LIMPO",0.177505184751077,0.633711166844691,0.175606348057519,0.0131773003467122,12.5352322121582,8.34935255646417,79
18,"CANGAIBA",0.589590694446265,0.359035161302883,0.0512013706514253,0.000172773599427385,16.0487315673828,3.08557648876569,31
19,"CAPAO REDONDO",0.168269438437909,0.627185257848,0.199718257468852,0.00482704624523927,13.7372648764648,8.41850550067566,80
20,"CARRAO",0.576028711703485,0.401023977186015,0.0229473111105004,0,7.91334091918945,2.57880266369258,25
21,"CASA VERDE",0.390347558539588,0.531985095982143,0.0735307030505424,0.00413664242772666,7.20642084765625,4.74639160183787,54
22,"CIDADE ADEMAR",0.161087036333235,0.692040347074459,0.140703076933422,0.00616953965888408,12.3392843010254,7.3479510382409,74
23,"CIDADE DUTRA",0.436386794414868,0.481323207364413,0.0801457975672949,0.00214420065342396,27.9831098120117,4.53891301520987,50
24,"CIDADE LIDER",0.190335816652677,0.644128375634792,0.148366150641092,0.0171696570714384,10.3463673364258,7.95997506848756,76
25,"CIDADE TIRADENTES",0.126328619556309,0.557592584024859,0.307956114208285,0.00812268221054695,14.8983220458984,10.9742267079642,88
26,"CONSOLACAO",0.407783277629356,0.551096644354831,0.035873816270087,0.00524626174572655,3.81325335351563,3.96710433326992,42
27,"CURSINO",0.26522489207868,0.661476192164507,0.0708015682048168,0.00249734755199613,12.0120158857422,5.22726101906273,59
28,"ERMELINO MATARAZZO",0.347817712319197,0.603521068082215,0.0486612195985883,0,8.8177031875,4.23413583037578,47
29,"FREGUESIA DO O",0.304006974259801,0.552079864877632,0.138860727801733,0.00505243306083402,11.0330226018066,6.53506350308153,70
30,"GRAJAU",0.368050958379953,0.513730428915089,0.11240454021349,0.00581407249146755,92.6899523674316,5.72760999940076,63
31,"GUAIANASES",0.18656385434749,0.62669987557958,0.176331453645204,0.010404816427726,8.94856196435547,8.16607470469157,77
32,"MOEMA",0.86216625237808,0.13783374762192,0,0,9.09094605053711,0.689168738109598,8
33,"IGUATEMI",0.132109359342971,0.46055960804958,0.372322703096548,0.0350083295109009,19.5476086147461,13.7113653883156,90
34,"IPIRANGA",0.616866053931537,0.374896426432565,0.00823751963589768,0,11.0218638718262,2.08042012306027,20
35,"ITAIM BIBI",0.943755734205854,0.0552498281379003,0.000994437656246227,0,10.0497770234375,0.301110082095657,5
36,"ITAIM PAULISTA",0.279079439489255,0.677472484800819,0.0434480757099263,0,12.0833003276367,4.47356431675225,49
37,"ITAQUERA",0.221593648646108,0.724121890518938,0.051430143936072,0.00285431689888179,14.7299886135254,5.0776220649294,58
38,"JABAQUARA",0.244079960748813,0.678045984067256,0.0743070769035907,0.00356697828034071,13.9994128469238,5.46192553974649,60
39,"JACANA",0.625476650502014,0.211206311312181,0.147442703965834,0.0158743342199705,8.2576380546875,5.69455920890499,62
40,"JAGUARA",0.546122827565741,0.394344081503599,0.0595330909306594,0,4.53880072338867,3.46004768078448,33
41,"JAGUARE",0.525557270598837,0.403790055485159,0.0614382434689645,0.00921443044703927,6.51047807641602,4.10777219097227,44
42,"JARAGUA",0.133873862249402,0.457523058791786,0.366511618702645,0.0420914602561666,28.3480433449707,13.9758933768951,91
43,"JARDIM ANGELA",0.322143072514227,0.435613673367112,0.223632235167029,0.0186110189516322,37.1839762543945,8.88553538310921,81
44,"JARDIM HELENA",0.984447425703415,0.0152488659825933,0.000303708313992045,0,9.01487449584961,0.0838370377627678,3
45,"JARDIM PAULISTA",0.60295909338396,0.388745615762367,0.0082952908536727,0,6.19028653735352,2.15111035015365,22
