"ds_codigo","ds_nome","topography","topography_color","venues","venues_color","railway","railway_color","bus","bus_color","taxi","taxi_color","parking","parking_color","final_score","final_score_color"
28,"ERMELINO MATARAZZO",0.672330967571277,"#FAFF00",1,"#00FF00",0.194604413826989,"#FF6000",0.170391061452514,"#FF5400",0.197394292482523,"#FF6100",0,"#FF0000",0.372453455888884,"#FFAF00"
29,"FREGUESIA DO O",0.547683187846231,"#FFDE00",0.8,"#98FF00",0.000268305154588719,"#FF0000",0.349162011173184,"#FFA900",0.355051039700233,"#FFAA00",0,"#FF0000",0.34202742397904,"#FFA700"
30,"GRAJAU",0.601333652558831,"#FFED00",0.733333333334,"#CBFF00",0.00680205604555199,"#FF0300",0.315642458100559,"#FF9C00",0,"#FF0000",0,"#FF0000",0.27618525000649,"#FF8800"
31,"GUAIANASES",0.44714007004488,"#FFC300",0,"#FF0000",0.0747716244061677,"#FF2500",0.223463687150838,"#FF6E00",0,"#FF0000",0.657709555435,"#FFFC00",0.233847489506148,"#FF7300"
32,"MOEMA",0.941619460011011,"#2CFF00",0.783046764962,"#A5FF00",0.00096424028961099,"#FF0000",0.427374301675978,"#FFBE00",0.569717747004543,"#FFE400",0.919395364794,"#3DFF00",0.60701964645619,"#FFEE00"
33,"IGUATEMI",0.163633557709878,"#FF5000",1,"#00FF00",0,"#FF0000",0.134078212290503,"#FF4200",0.657309547592023,"#FFFC00",0,"#FF0000",0.325836886265401,"#FFA100"
34,"IPIRANGA",0.82812029986728,"#83FF00",0.673714285714,"#F9FF00",0.294572468039396,"#FF9100",0.293296089385475,"#FF9100",0.455756520887007,"#FFC600",0.760921985206,"#B6FF00",0.551063608183193,"#FFDF00"
35,"ITAIM BIBI",0.975233262647049,"#12FF00",0.769344458488,"#B0FF00",0.17743549263993,"#FF5700",0.410614525139665,"#FFB900",0.670385690091589,"#FCFF00",0.912777411216,"#42FF00",0.652631806703705,"#FFFB00"
36,"ITAIM PAULISTA",0.648589376497076,"#FFFA00",0.585714285714,"#FFE900",0.0890478952288801,"#FF2C00",0.145251396648045,"#FF4700",0.416774378331666,"#FFBB00",0,"#FF0000",0.314229555403278,"#FF9B00"
37,"ITAQUERA",0.609174525970564,"#FFEF00",0.733333333334,"#CBFF00",0.160585515440431,"#FF4F00",0.597765363128492,"#FFEC00",0.0344616536945725,"#FF1100",0.701846496726,"#E4FF00",0.47286114804901,"#FFCA00"
38,"JABAQUARA",0.593099740228886,"#FFEB00",0.776996336996,"#AAFF00",0.168979834145046,"#FF5300",0.284916201117318,"#FF8D00",0.527937262631548,"#FFD900",0.645817525259,"#FFF900",0.4996244833963,"#FFD100"
39,"JACANA",0.651791435865039,"#FFFA00",0.642857142858,"#FFF800",2.02481755621127e-09,"#FF0000",0.17877094972067,"#FF5800",0.256591111744515,"#FF7F00",0,"#FF0000",0.288335107035507,"#FF8E00"
40,"JAGUARA",0.745719549250314,"#C2FF00",1,"#00FF00",0.00633596835152512,"#FF0300",0.0921787709497207,"#FF2D00",0.177620055587737,"#FF5700",0,"#FF0000",0.336975724023216,"#FFA500"
41,"JAGUARE",0.713035652824741,"#DBFF00",0.864935064936,"#67FF00",0.187779687053982,"#FF5C00",0.058659217877095,"#FF1D00",0.307508685333398,"#FF9800",0,"#FF0000",0.355319718004203,"#FFAA00"
42,"JARAGUA",0.153122161855468,"#FF4B00",0.921428571428,"#3CFF00",0.0942970379657637,"#FF2E00",0.26536312849162,"#FF8300",0.107591692496217,"#FF3500",0,"#FF0000",0.256967098706178,"#FF7F00"
43,"JARDIM ANGELA",0.43653401840122,"#FFC000",0.885714285714,"#57FF00",4.64446576435562e-08,"#FF0000",0.301675977653631,"#FF9500",0.110956090471905,"#FF3600",0,"#FF0000",0.289146736447569,"#FF8F00"
44,"JARDIM HELENA",0.992999925122044,"#05FF00",1,"#00FF00",0.205316175294914,"#FF6500",0.0502793296089385,"#FF1800",0,"#FF0000",0,"#FF0000",0.374765905004316,"#FFB000"
45,"JARDIM PAULISTA",0.8224156217419,"#87FF00",0.696586051108,"#E8FF00",0.292310530132746,"#FF9000",0.516759776536313,"#FFD600",0.617376982609135,"#FFF100",0.960325000695,"#1EFF00",0.650962327137182,"#FFFA00"
46,"JARDIM SAO LUIS",0.601409965002934,"#FFED00",0.657142857142,"#FFFC00",0.0660433701583246,"#FF2000",0.606145251396648,"#FFEE00",0.581838408704866,"#FFE800",0,"#FF0000",0.418763308734129,"#FFBC00"
47,"JOSE BONIFACIO",0.440201469663651,"#FFC100",0.733333333334,"#CBFF00",0.0806890011300101,"#FF2700",0.287709497206704,"#FF8E00",0.114537765553726,"#FF3800",0,"#FF0000",0.276078511148015,"#FF8800"
48,"LAPA",0.817443904385422,"#8BFF00",0.673226724576,"#F9FF00",0.279991677048872,"#FF8A00",0.55586592178771,"#FFE100",0.306516575328613,"#FF9700",0.839094304603,"#7BFF00",0.578689851288269,"#FFE700"
49,"LIBERDADE",0.668380803317805,"#FDFF00",0.66671957672,"#FEFF00",0.449692202365338,"#FFC400",0.231843575418994,"#FF7200",0.634383900955082,"#FFF600",0.844589170876,"#76FF00",0.582601538275537,"#FFE800"
50,"LIMAO",0.72373617424278,"#D3FF00",0.828571428572,"#83FF00",1.49328823254089e-06,"#FF0000",0.23463687150838,"#FF7400",0.2503749253519,"#FF7B00",0,"#FF0000",0.339553482160549,"#FFA600"
51,"MANDAQUI",0.299624774640716,"#FF9400",0.699428571428,"#E5FF00",2.25134407235787e-07,"#FF0000",0.192737430167598,"#FF5F00",0.275816425283774,"#FF8800",0,"#FF0000",0.244601237775749,"#FF7900"
52,"MARSILAC",0,"#FF0000",0,"#FF0000",0,"#FF0000",0,"#FF0000",NA,"#888888",0,"#FF0000",NA,"#888888"
53,"MOOCA",0.833371372356861,"#7FFF00",0.680069686412,"#F4FF00",0.218537492846964,"#FF6C00",0.276536312849162,"#FF8800",0.345345575374287,"#FFA800",0.809672477705,"#91FF00",0.527255486257379,"#FFD900"
54,"MORUMBI",0.556220447327909,"#FFE100",0.757686344664,"#B9FF00",0.165102268796466,"#FF5100",0.153631284916201,"#FF4C00",0.397637198346526,"#FFB600",0,"#FF0000",0.338379590675184,"#FFA600"
55,"PARELHEIROS",0.416942676120486,"#FFBB00",0,"#FF0000",0,"#FF0000",0.251396648044693,"#FF7C00",0,"#FF0000",0,"#FF0000",0.111389887360863,"#FF3700"
56,"PARI",0.995331884431044,"#03FF00",0.8,"#98FF00",0.0678501022979795,"#FF2100",0.150837988826816,"#FF4A00",0.431161296499731,"#FFBF00",0.965046611005,"#1AFF00",0.568371313843428,"#FFE400"
57,"PARQUE DO CARMO",0.3818183053232,"#FFB200",0.904,"#49FF00",2.80088480838452e-07,"#FF0000",0.187150837988827,"#FF5C00",0,"#FF0000",0,"#FF0000",0.245494903900085,"#FF7900"
58,"PEDREIRA",0.560645596714804,"#FFE200",0,"#FF0000",0.00012012068030179,"#FF0000",0.17877094972067,"#FF5800",0.304985984978739,"#FF9600",0,"#FF0000",0.174087108682419,"#FF5600"
