"ds_nome","ds_codigo","venues","venues_color","railway","railway_color","bus","bus_color","parking","parking_color","topography","topography_color","final_score","final_score_color"
"GUAIANASES",31,NA,"#636466",1.15882818484528,"#D86145",6.70994362495334,"#B3C364",6.57709555435,"#B9C464",5.33275149192423,"#EECF60",NA,"#636466"
"IGUATEMI",33,NA,"#636466",0,"#CE3F3E",5.28129182098591,"#F0D05F",0,"#CE3F3E",2.16338914759965,"#E27F4C",NA,"#636466"
"IPIRANGA",34,6.58561038877762,"#B8C464",3.79363407608818,"#F1AF57",6.73579187870195,"#B2C364",7.60921985206,"#8CBA67",8.81095409157286,"#59AF6B",7.14759324976684,"#A0BF66"
"ITAIM BIBI",35,8.4577369577879,"#68B36A",2.43991933012354,"#E4874E",7.11260916680412,"#A2BF66",9.12777411216,"#4BAD6D",9.82790316862762,"#2DA66F",8.17080255425936,"#74B569"
"ITAIM PAULISTA",36,1.07301430683293,"#D85E45",1.30710034204887,"#DA6546",5.75075042268359,"#DCCC61",0,"#CE3F3E",7.4431734782995,"#93BC67",3.62293490223664,"#F0AA55"
"ITAQUERA",37,8.86038480511449,"#57AF6C",2.24663776634936,"#E3814C",7.42500598100575,"#94BC67",7.01846496726,"#A6C065",7.09792956051466,"#A2BF66",7.17389464572251,"#9FBE66"
"JABAQUARA",38,8.6557401012123,"#5FB16B",2.29694494126315,"#E3824D",6.17423877032984,"#CAC862",6.45817525259,"#BEC563",6.87828427384371,"#ACC165",6.83682578770567,"#AEC265"
"JACANA",39,4.3603658305202,"#F6C05A",0.0000230506880769967,"#CE3F3E",6.37279232395846,"#C1C663",0,"#CE3F3E",6.74532453681309,"#B1C264",4.40998738629404,"#F7C15B"
"JAGUARA",40,NA,"#636466",0.322544888205624,"#D14840",5.80908472721154,"#DACB61",0,"#CE3F3E",8.02244003881883,"#7BB769",NA,"#636466"
"JAGUARE",41,7.62427812762532,"#8CBA67",2.7982660920147,"#E89150",5.58219125833815,"#E3CD60",0,"#CE3F3E",7.65223876548475,"#8ABA68",6.02333422552034,"#D1C962"
"JARAGUA",42,4.21343117909091,"#F5BB59",1.37473375325397,"#DA6747",4.81304637543367,"#FBCD5D",0,"#CE3F3E",2.01220049152083,"#E07A4B",2.76274168228032,"#E79050"
"JARDIM ANGELA",43,5.09236419447946,"#F9D25F",0.0000300732966321725,"#CE3F3E",5.08895423784937,"#F9D25F",0,"#CE3F3E",4.92155003964818,"#FCD05E",3.90341411261432,"#F2B257"
"JARDIM HELENA",44,5.29230389737475,"#F0D05F",2.87028384709614,"#E89350",4.53066331928297,"#F8C55B",0,"#CE3F3E",9.9520836750128,"#28A56F",5.9037899870602,"#D6CA62"
